"","sci_name","Genus","Species","nutrient_data","ctmax_estimate","gl_fish","db","Family"
"91","Zeus faber","Zeus","faber","Y",NA,NA,"itis","Zeidae"
"92","Pollachius pollachius","Pollachius","pollachius","Y",NA,NA,"itis","Gadidae"
"93","Sardina pilchardus","Sardina","pilchardus","Y",NA,NA,"itis","Clupeidae"
"94","Xiphias gladius","Xiphias","gladius","Y",NA,NA,"itis","Xiphiidae"
"95","Thunnus thynnus","Thunnus","thynnus","Y",NA,NA,"itis","Scombridae"
"96","Gadiformes nei","Gadiformes","nei","Y",NA,NA,"itis",NA
"97","Scomberomorus commerson","Scomberomorus","commerson","Y",NA,NA,"itis","Scombridae"
"98","Eleutheronema tradactylum","Eleutheronema","tradactylum","Y",NA,NA,"itis","Polynemidae"
"99","Megalapsis cordyla","Megalapsis","cordyla","Y",NA,NA,"itis",NA
"100","Selaroides leptolepis","Selaroides","leptolepis","Y",NA,NA,"itis","Carangidae"
"101","Scomberomorus maculatus","Scomberomorus","maculatus","Y",NA,NA,"itis","Scombridae"
"102","Epinephelus coioides","Epinephelus","coioides","Y",NA,NA,"itis","Serranidae"
"103","Carangoides fulvoguttatus","Carangoides","fulvoguttatus","Y",NA,NA,"itis","Carangidae"
"104","Ctenopharyngodon idellus","Ctenopharyngodon","idellus","Y",NA,NA,"itis","Cyprinidae"
"105","Katsuwonus pelamis","Katsuwonus","pelamis","Y","Y",NA,"itis","Scombridae"
"106","Gymnura marmorata","Gymnura","marmorata","Y",NA,NA,"itis","Gymnuridae"
"107","Bagre marinus","Bagre","marinus","Y",NA,NA,"itis","Ariidae"
"108","Rhomboplites aurorubens","Rhomboplites","aurorubens","Y",NA,NA,"itis","Lutjanidae"
"109","Carcharhinus porosus","Carcharhinus","porosus","Y",NA,NA,"itis","Carcharhinidae"
"110","Trichiurus lepturus","Trichiurus","lepturus","Y",NA,NA,"itis","Trichiuridae"
"111","Caranx crysos","Caranx","crysos","Y",NA,NA,"itis","Carangidae"
"112","Lutjanus campechanus","Lutjanus","campechanus","Y",NA,NA,"itis","Lutjanidae"
"113","Lutjanus peru","Lutjanus","peru","Y",NA,NA,"itis","Lutjanidae"
"114","Caranx hippos","Caranx","hippos","Y",NA,NA,"itis","Carangidae"
